Date,Year,Company,Ticker,Exchange,Open,High,Low,Close,Volume
2021-05-31,2021,Tata Steel Limited,TATASTEEL.NS,NSE,95.73,98.12,93.45,96.48,678049870
2021-06-07,2021,Tata Steel Limited,TATASTEEL.NS,NSE,97.28,100.26,94.18,99.72,593899230
2021-06-14,2021,Tata Steel Limited,TATASTEEL.NS,NSE,100.55,102.17,90.41,94.03,998752370
2021-06-21,2021,Tata Steel Limited,TATASTEEL.NS,NSE,94.18,102.98,93.62,102.56,550946420
2021-06-28,2021,Tata Steel Limited,TATASTEEL.NS,NSE,103.33,104.91,99.47,99.98,406956960
2021-07-05,2021,Tata Steel Limited,TATASTEEL.NS,NSE,100.86,109.5,99.98,109.08,638423020
2021-07-12,2021,Tata Steel Limited,TATASTEEL.NS,NSE,110.11,112.77,107.23,112.52,510571670
2021-07-19,2021,Tata Steel Limited,TATASTEEL.NS,NSE,110.81,114.02,107.82,112.78,340204580
2021-07-26,2021,Tata Steel Limited,TATASTEEL.NS,NSE,113.45,130.42,112.49,126.24,759652460
2021-08-02,2021,Tata Steel Limited,TATASTEEL.NS,NSE,127.27,128.24,122.12,125.76,555947390
2021-08-09,2021,Tata Steel Limited,TATASTEEL.NS,NSE,126.21,129.96,120.33,128.65,707594530
2021-08-16,2021,Tata Steel Limited,TATASTEEL.NS,NSE,130.61,135.06,119.95,121.07,857572250
2021-08-23,2021,Tata Steel Limited,TATASTEEL.NS,NSE,123.4,125.51,115.36,121.82,696502970
2021-08-30,2021,Tata Steel Limited,TATASTEEL.NS,NSE,123.13,128.41,123.04,127.06,616098200
2021-09-06,2021,Tata Steel Limited,TATASTEEL.NS,NSE,127.36,128.41,124.86,127.36,233006470
2021-09-13,2021,Tata Steel Limited,TATASTEEL.NS,NSE,127.36,129.91,119.7,121.98,407702660
2021-09-20,2021,Tata Steel Limited,TATASTEEL.NS,NSE,118.82,118.99,108.51,111.96,881890660
2021-09-27,2021,Tata Steel Limited,TATASTEEL.NS,NSE,111.95,115.86,110.99,114.23,428162280
2021-10-04,2021,Tata Steel Limited,TATASTEEL.NS,NSE,114.23,118.3,112.06,114.52,394425280
2021-10-11,2021,Tata Steel Limited,TATASTEEL.NS,NSE,114.86,122.39,114.24,121.02,339597660
2021-10-18,2021,Tata Steel Limited,TATASTEEL.NS,NSE,124.8,125.56,111.87,114.09,430847900
2021-10-25,2021,Tata Steel Limited,TATASTEEL.NS,NSE,114.59,118.97,111.54,115.82,386056220
